Longitude,Latitude,is_population,population_in_25_km_radius,population_in_50_km_radius,population_in_75_km_radius
-0.8635,60.6376,true,1777.296142578125,6934.1171875,22037.03125
-0.8808,57.3901,true,0.0,0.0,61277.46484375
-3.9425,50.314,true,381685.875,759014.5625,1.246493625e6
-3.6184,50.396,true,311903.875,936444.25,1.242654e6
-3.5764,54.466,true,102130.265625,277391.0,851071.3125
0.986,52.958,true,77997.546875,642797.875,1.298761875e6
-2.9782,51.4686,true,1.083172625e6,3.033328e6,4.575306e6
-4.8671,50.529,true,158358.625,465894.96875,971034.25
1.5882,51.256,true,235543.21875,713443.5,2.11143975e6
1.38,51.378,true,351158.40625,905970.625,3.070896e6
0.997,52.964,true,76291.078125,634684.25,1.2816585e6
0.967,51.083,true,384644.0625,1.63606125e6,4.1900565e6
0.9327,51.368,true,508144.875,2.516468e6,8.840517e6
0.6508,51.413,true,1.38478e6,5.703444e6,1.4455978e7
-1.6157,55.388,true,94413.8828125,1.04151925e6,1.8636695e6
-1.8846,50.686,true,621417.125,1.59798075e6,2.8350365e6
-2.5303,50.591,true,140759.515625,733299.0625,1.9046015e6
-3.0564,50.713,true,152731.140625,1.0772325e6,1.684546875e6
-3.3077,50.634,true,395795.90625,859314.3125,1.7675945e6
1.7984,51.665,true,0.0,281836.84375,1.216738e6
-5.9204,50.217,true,6817.18603515625,143563.375,310341.0
-6.5066,57.0241,true,104.77265930175781,10534.1171875,26529.6484375
-6.5932,50.903,true,0.0,0.0,0.0
-7.6371,57.525,true,2660.00830078125,5124.3642578125,10091.9814453125
-5.0420957,50.1438,true,210481.234375,425760.78125,790364.625
-6.13,49.74,true,1876.5947265625,3719.050537109375,94280.21875
-5.066,50.153,true,216619.4375,425222.75,773999.3125
-5.681,50.036,true,58616.32421875,232886.828125,360545.65625
-5.863,51.493,true,0.0,11.90768051147461,75892.671875
-6.251,51.336,true,0.0,0.0,0.13682129979133606
1.666,51.241,true,147356.96875,718436.875,1.7405955e6
1.3964,51.157,true,330480.375,884434.375,2.5723615e6
1.2808,51.022,true,214275.3125,984363.125,2.6034015e6
1.278,51.093,true,260010.375,1.025019e6,2.7157965e6
0.978,51.715,true,421444.4375,2.34105825e6,7.545729e6
0.8823,50.734,true,27606.56640625,624002.625,2.32218975e6
0.4216,50.774,true,374466.65625,1.259988625e6,3.5842405e6
0.4,50.567,true,43481.98828125,681540.25,1.80607675e6
0.1667,51.05,true,563636.0,5.587125e6,1.5190035e7
0.0692,50.769,true,644915.3125,1.69804825e6,4.967171e6
-0.4639,50.727,true,519328.28125,1.807711375e6,4.913014e6
